name,price
ELEGOO Carte Starter Kit de Démarrage Super avec Guide d'Utilisation Français pour Débutants et Professionnels DIY Compatible avec Arduino IDE,"44,99 €"
ELEGOOE Mega R3 Kit de Démarrage Ultime Le Plus Complet avec Manuel d'Utilisation Français pour Débutants et Professionnels DIY Compatible avec Arduino IDE,"64,99 €"
ARDUINO UNO REV3 microprocesseur d'Arduino [A000066],"27,68 €"
"Lot de 3 Cartes Nano V3, microcontrôleurs avec micropuce 328P CH340, Cartes mères 5 V 16 m, compatibles avec Arduino IDE Nano (Port USB C)","16,99 €"
ELEGOO UNO R3 Carte Controller Board Microcontrôleur avec Câble USB Bleu Compatible avec Les projets Arduino IDE Conforme RoHS,"18,99 €"
"Arduino UNO R4 WiFi, ABX00087","30,80 €"
Arduino Starter Kit Officiel pour débutants K020007 [Manuel en français],"92,50 €"
"ELEGOO Lot de 120pcs Câbles Dupont Breadboard 28AWG 3 en 1 [40Pin Mâle vers Femelle, 40Pin Mâle vers Mâle, 40Pin Femelle vers Femelle] Longueur 20cm pour Mega modèle de 2560 Nano ou Plaque d'Essai","9,99 €"
Arduino pour débutants: Créer son propre projet électronique en 7 jours,"15,95 €"
"Arduino pour les Nuls Poche, 3è édition: Livre d'électronique, Découvrir le circuit composé Arduino, De la prise en main aux exemples de montage, en passant par les éléments de base de l'électronique","13,50 €"
ELEGOO Carte Mega R3 ATmega modèle de 2560 et de 16U2 Board Bleu avec Câble USB Compatible avec Les projets Arduino IDE Conforme RoHS(Bleu),"22,99 €"
"Kit de démarrage UNO R3 avec tutoriel et Carte mémoire, utilisant la Puce d'origine, Compatible avec l'IDE Arduino.","34,99 €"
ELEGOO UNO R3 Carte Kit De Démarrage Basique avec Guide d'utilisation Français Kit d'apprentissage de Base Projet Compatible avec Arduino IDE,"24,99 €"
ELEGOO 3 Pièces Carte Nano ATmega modèle de 328P Micro Contrôleur Module Board Compatible avec Les projets Arduino IDE Conforme RoHS,"24,99 €"
ELEGOO 37-in-1 Kit V2.0 Sensor Module with Complete and Accessible Tutorial CD Compatible with Arduino IDE,"34,99 €"
"Arduino UNO R4 Minima [ABX00080] - Renesas RA4M1 - USB-C, Can, DAC (12 bit), OP AMP, SWD Connector","22,50 €"
ElectroWorldFR UNO R3 Carte Controller Board ATmega328P et CH340 Microcontrôleur Compatible Arduino,"9,99 €"
Arduino Nano Every (Single Board),"18,90 €"
"AZDelivery 5x Carte ATmega328P, Microcontrôleur avec câble USB, Controller Board incluant Un Ebook!","33,99 €"
Le grand livre d'Arduino,"43,00 €"
"KEYESTUDIO Inventor Kit de démarrage pour Arduino Nano, matériel pré-connecté, Codage et électronique faciles à démarrer, 30 projets, 15 modules, Ensemble éducatif STEM pour Adultes et Adolescents","42,46 €"
